DE|lfd|ulfd|art
Abgasanlage|1|0|artikel_gruppe
Abgasrohr|1|1|artikel_gruppe
Dichtring, Abgasrohr|1|2|artikel_gruppe
Dichtung, Abgasrohr|1|3|artikel_gruppe
Endschalldämpfer|1|4|artikel_gruppe
Halter, Abgasanlage|1|5|artikel_gruppe
Halter, Schalldämpfer|1|6|artikel_gruppe
Vorschalldämpfer|1|7|artikel_gruppe
Abgasrückführung|2|0|artikel_gruppe
AGR-Ventil|2|1|artikel_gruppe
Druckwandler, Abgassteuerung|2|2|artikel_gruppe
Ventil, AGR-Abgassteuerung|2|3|artikel_gruppe
Achsantrieb|3|0|artikel_gruppe
Gelenkwelle, Achsantrieb|3|1|artikel_gruppe
Lager, Antriebswelle|3|2|artikel_gruppe
Lager, Gelenkwellenmittellager|3|3|artikel_gruppe
Anhängevorrichtung|4|0|artikel_gruppe
Unterfahrschutz, Anhängevorrichtung|4|1|artikel_gruppe
Automatikgetriebe|5|0|artikel_gruppe
Dichtung, Ölwanne-Automatikgetriebe|5|1|artikel_gruppe
Halter, Automatikgetriebeaufhängung|5|2|artikel_gruppe
Hydraulikfilter, Automatikgetriebe|5|3|artikel_gruppe
Lagerung, Automatikgetriebe|5|4|artikel_gruppe
Lagerung, Automatikgetriebeträger|5|5|artikel_gruppe
Ölwanne, Automatikgetriebe|5|6|artikel_gruppe
Beleuchtung|6|0|artikel_gruppe
Blende, Nebelscheinwerfer|6|1|artikel_gruppe
Glühlampe, Hauptscheinwerfer|6|2|artikel_gruppe
Glühlampe, Nebelscheinwerfer|6|3|artikel_gruppe
Halter, Hauptscheinwerfer|6|4|artikel_gruppe
Hauptscheinwerfer|6|5|artikel_gruppe
Heckblende|6|6|artikel_gruppe
Heckleuchte|6|7|artikel_gruppe
Innenraumleuchte|6|8|artikel_gruppe
Kennzeichenleuchte|6|9|artikel_gruppe
Leseleuchte|6|10|artikel_gruppe
Nebelscheinwerfer|6|11|artikel_gruppe
Rahmen, Hauptscheinwerfer|6|12|artikel_gruppe
Reflektor, Nebelscheinwerfer|6|13|artikel_gruppe
Rückstrahler|6|14|artikel_gruppe
Schalter, Hauptlicht|6|15|artikel_gruppe
Schalter, Nebellicht|6|16|artikel_gruppe
Schalter, Nebelschlußleuchte|6|17|artikel_gruppe
Schalter, Rückfahrleuchte|6|18|artikel_gruppe
Scheinwerferaufnahme, Beleuchtung|6|19|artikel_gruppe
Schlußleuchte|6|20|artikel_gruppe
Stellelement, Leuchtweiteregulierung|6|21|artikel_gruppe
Streuscheibe, Hauptscheinwerfer|6|22|artikel_gruppe
Beleuchtung, Universal|7|0|artikel_gruppe
Schalter, Hauptlicht|7|1|artikel_gruppe
Schalter, Nebelschlußleuchte|7|2|artikel_gruppe
Schalter, Rückfahrleuchte|7|3|artikel_gruppe
Seitenmarkierungsleuchte|7|4|artikel_gruppe
Bordnetz|8|0|artikel_gruppe
Sicherungskasten|8|1|artikel_gruppe
Bremsanlage|9|0|artikel_gruppe
Ausgleichsbehälter, Bremsflüssigkeit|9|1|artikel_gruppe
Bremsbackensatz|9|2|artikel_gruppe
Bremsbackensatz, Feststellbremse|9|3|artikel_gruppe
Bremskraftverstärker|9|4|artikel_gruppe
Bremssattel|9|5|artikel_gruppe
Bremsscheibe|9|6|artikel_gruppe
Bremsschlauch|9|7|artikel_gruppe
Bremstrommel|9|8|artikel_gruppe
Dichtung, Unterdruckpumpe|9|9|artikel_gruppe
Dichtungssatz, Bremssattel|9|10|artikel_gruppe
Führungsbolzen, Bremssattel|9|11|artikel_gruppe
Führungshülsensatz, Bremssattel|9|12|artikel_gruppe
Handbremshebel|9|13|artikel_gruppe
Hauptbremszylinder|9|14|artikel_gruppe
Kolben, Bremssattel|9|15|artikel_gruppe
Radbremszylinder|9|16|artikel_gruppe
Reparatursatz, Bremssattel|9|17|artikel_gruppe
Seilzug, Feststellbremse|9|18|artikel_gruppe
Sensor, Raddrehzahl|9|19|artikel_gruppe
Steuergerät, Brems-/Fahrdynamik|9|20|artikel_gruppe
Unterdruckpumpe, Bremsanlage|9|21|artikel_gruppe
Warnkontakt, Bremsbelagverschleiß|9|22|artikel_gruppe
Druckluftanlage|10|0|artikel_gruppe
