art_nr|art_ctcid|art_kat|art_ukat|art_uvp|art_bild
81600||0|0|64.29|
81601||0|0|46.45|
81602||0|0|55.68|
81603||0|0|38.21|
81604||0|0|49.98|
81605||0|0|46.90|
81606||0|0|55.59|
81607||0|0|28.45|
81608||0|0|56.06|
81609||0|0|56.06|
81610||0|0|56.06|
81611||0|0|28.45|
81612||0|0|28.45|
81613||0|0|61.49|
81614||0|0|38.24|
81615||0|0|48.77|
81616||0|0|31.13|
81617||0|0|33.49|
81618||0|0|46.89|
81619||0|0|75.03|
81620||0|0|75.03|
81621||0|0|33.80|
81622||0|0|39.34|
81623||0|0|20.20|
81624||0|0|20.36|
81625||0|0|39.34|
81626||0|0|39.34|
81627||0|0|60.04|
81628||0|0|48.16|
81629||0|0|13.59|
81630||0|0|48.82|
81631||0|0|44.07|
81633||0|0|35.67|
81634||0|0|64.05|
81636||0|0|38.13|
81637||0|0|38.50|
81638||0|0|130.74|
81639||0|0|71.24|
81640||0|0|58.48|
81641||0|0|26.50|
81643||0|0|54.40|
81644||0|0|41.40|
81645||0|0|77.50|
82601||0|0|57.86|
82602||0|0|72.55|
82603||0|0|19.06|
82604||0|0|29.87|
82605||0|0|38.01|upload/artikel_bilder/82605.jpg
82606||0|0|27.14|upload/artikel_bilder/82606.jpg
82607||0|0|31.87|upload/artikel_bilder/82607.jpg
82608||0|0|29.82|upload/artikel_bilder/82608.jpg
82609||0|0|152.77|upload/artikel_bilder/82609.jpg
82610||0|0|31.03|upload/artikel_bilder/82610.jpg
82611||0|0|28.61|upload/artikel_bilder/82611.jpg
82612||0|0|28.61|upload/artikel_bilder/82612.jpg
82613||0|0|63.52|
82614||0|0|83.58|
82615||0|0|23.57|
82616||0|0|49.82|
82617||0|0|21.31|
82618||0|0|14.91|
82619||0|0|87.15|
82620||0|0|15.96|
82621||0|0|33.55|
82622||0|0|59.54|
82623||0|0|59.54|
82624||0|0|22.15|
82625||0|0|72.55|
82626||0|0|40.85|
82627||0|0|25.62|
82628||0|0|51.45|
82629||0|0|34.55|
82630||0|0|39.11|
82631||0|0|62.79|
82632||0|0|49.82|
82633||0|0|49.56|
82634||0|0|33.50|
82635||0|0|90.51|
82636||0|0|66.36|
82637||0|0|40.85|
82638||0|0|32.50|
82639||0|0|37.22|
82640||0|0|52.82|
82641||0|0|21.58|
82642||0|0|66.36|
82643||0|0|57.86|
82644||0|0|23.57|
82645||0|0|68.88|
82646||0|0|8.24|
82647||0|0|7.50|
82648||0|0|81.90|
82649||0|0|38.01|
82650||0|0|38.01|
82651||0|0|54.60|
82652||0|0|28.61|
82653||0|0|28.92|
82654||0|0|51.13|
82655||0|0|64.99|
82656||0|0|31.13|
82657||0|0|42.84|
82658||0|0|31.13|
82659||0|0|25.62|
82660||0|0|45.57|
82661||0|0|45.57|
82662||0|0|45.57|
82663||0|0|25.62|
82664||0|0|60.69|
82665||0|0|17.33|
82666||0|0|54.60|
82667||0|0|60.69|
82668||0|0|34.55|
82669||0|0|33.92|
82670||0|0|34.55|
82671||0|0|34.55|
82672||0|0|28.61|
82673||0|0|45.57|
82674||0|0|34.55|
82675||0|0|40.85|
82676||0|0|38.01|
82677||0|0|43.26|
82678||0|0|25.62|
82680||0|0|30.20|
82681||0|0|55.10|
82682||0|0|38.65|
82683||0|0|49.25|
82684||0|0|33.95|
82685||0|0|64.00|
82686||0|0|33.95|
82687||0|0|102.00|
82688||0|0|22.40|
82689||0|0|84.40|
82690||0|0|26.90|
82691||0|0|58.90|
82692||0|0|25.80|
82694||0|0|49.25|
82695||0|0|49.25|
82696||0|0|32.80|
84601||0|0|50.07|
84602||0|0|57.03|
84603||0|0|145.27|
84604||0|0|50.07|
84606||0|0|50.07|
84607||0|0|57.03|
84608||0|0|145.21|
84609||0|0|145.21|
84611||0|0|145.21|
84612||0|0|57.03|
84613||0|0|145.21|
84615||0|0|145.21|
84617||0|0|145.21|
84619||0|0|145.21|
84620||0|0|146.69|
84621||0|0|146.69|
84622||0|0|42.88|
84623||0|0|42.88|
84624||0|0|146.69|
84625||0|0|146.69|
85600||0|0|147.00|
85601||0|0|160.17|
85602||0|0|13.00|
85603||0|0|20.34|
85606||0|0|12.43|
85607||0|0|52.23|
85608||0|0|102.25|
85609||0|0|70.24|
85610||0|0|30.52|
85611||0|0|48.00|
85612||0|0|55.65|
85613||0|0|55.65|
85614||0|0|43.00|
85615||0|0|102.00|
85616||0|0|114.00|
85617||0|0|113.50|
85618||0|0|68.55|
85619||0|0|31.00|
85620||0|0|195.00|
85622||0|0|165.00|
85625||0|0|34.80|
85626||0|0|112.00|
85628||0|0|171.50|
85629||0|0|102.50|
85630||0|0|266.00|
86600||0|0|65.52|
86601||0|0|111.30|
86602||0|0|16.54|
86603||0|0|36.33|
86604||0|0|50.82|
86605||0|0|31.18|
86606||0|0|36.33|
86607||0|0|107.10|
86608||0|0|19.06|
86609||0|0|37.15|
86610||0|0|46.00|
86611||0|0|37.15|
86612||0|0|23.80|
86613||0|0|37.15|
86614||0|0|38.40|
86615||0|0|51.70|
86616||0|0|28.90|
86617||0|0|42.65|
86618||0|0|31.30|
86619||0|0|56.20|
86620||0|0|43.25|
86621||0|0|154.50|
86622||0|0|45.85|
86623||0|0|20.05|
86624||0|0|48.05|
86625||0|0|48.05|
86626||0|0|16.15|
86627||0|0|44.05|
86628||0|0|31.50|
86629||0|0|48.05|
86630||0|0|73.40|
86631||0|0|9.50|
86632||0|0|44.05|
86633||0|0|51.30|
86634||0|0|52.80|
86635||0|0|54.10|
86636||0|0|52.80|
86637||0|0|33.35|
86638||0|0|184.50|
86639||0|0|44.05|
86640||0|0|44.05|
86641||0|0|44.05|
86642||0|0|35.70|
86643||0|0|21.50|
86644||0|0|52.80|
86645||0|0|37.45|
86646||0|0|44.05|
86647||0|0|32.80|
86648||0|0|84.40|
86650||0|0|76.10|
86651||0|0|53.50|
87600||0|0|46.93|
87601||0|0|117.08|
87602||0|0|32.50|
87603||0|0|37.28|
87604||0|0|41.37|
87605||0|0|60.69|
87606||0|0|28.35|
87607||0|0|49.82|
87608||0|0|49.82|
87609||0|0|26.09|
87610||0|0|49.82|
87611||0|0|156.97|
87612||0|0|53.55|
87613||0|0|177.97|
87614||0|0|56.91|
87615||0|0|68.88|
87616||0|0|53.13|
87617||0|0|34.55|
87618||0|0|31.13|
87619||0|0|34.55|
88600||0|0|45.15|
88601||0|0|34.95|
88602||0|0|33.50|
88603||0|0|60.90|
88604||0|0|49.90|
88605||0|0|63.42|
88606||0|0|40.10|
88607||0|0|29.00|
88608||0|0|78.50|
88609||0|0|55.00|
88610||0|0|165.00|
88611||0|0|44.90|
88612||0|0|23.90|
88613||0|0|110.00|
88614||0|0|67.50|
88615||0|0|129.20|
88616||0|0|47.50|
88617||0|0|79.90|
88618||0|0|45.50|
88619||0|0|65.00|
88620||0|0|51.90|
88621||0|0|60.80|
88622||0|0|67.80|
88623||0|0|34.50|
88624||0|0|94.50|
88625||0|0|72.50|
88626||0|0|74.10|
88627||0|0|168.50|
88628||0|0|160.30|
88629||0|0|120.20|
88630||0|0|57.00|
88631||0|0|35.00|
