art|lfd|ulfd|DE|ENG
Adm_Menue|1|0|Benutzer|
Adm_Menue|2|0|Texte/Sprache|
Adm_Menue|3|0|Artikelstamm|
Adm_Menue|4|0|Produktgruppen|
Adm_Menue|5|0|Artikel Layout|
Adm_Menue|6|0|Preisstamm|
Adm_Menue|7|0|DB: Export|
Adm_Menue|8|0|DB: Import|
Adm_Menue|9|0|Texterror&nbsp;(Adm_Menue[9][0]/DE)|
artikel_gruppe|1|0|Abgasanlage|
artikel_gruppe|1|1|Abgasrohr|
artikel_gruppe|1|2|Dichtring, Abgasrohr|
artikel_gruppe|1|3|Dichtung, Abgasrohr|
artikel_gruppe|1|4|Endschalldämpfer|
artikel_gruppe|1|5|Halter, Abgasanlage|
artikel_gruppe|1|6|Halter, Schalldämpfer|
artikel_gruppe|1|7|Vorschalldämpfer|
artikel_gruppe|2|0|Abgasrückführung|
artikel_gruppe|2|1|AGR-Ventil|
artikel_gruppe|2|2|Druckwandler, Abgassteuerung|
artikel_gruppe|2|3|Ventil, AGR-Abgassteuerung|
artikel_gruppe|3|0|Achsantrieb|
artikel_gruppe|3|1|Gelenkwelle, Achsantrieb|
artikel_gruppe|3|2|Lager, Antriebswelle|
artikel_gruppe|3|3|Lager, Gelenkwellenmittellager|
artikel_gruppe|4|0|Anhängevorrichtung|
artikel_gruppe|4|1|Unterfahrschutz, Anhängevorrichtung|
artikel_gruppe|5|0|Automatikgetriebe|
artikel_gruppe|5|1|Dichtung, Ölwanne-Automatikgetriebe|
artikel_gruppe|5|2|Halter, Automatikgetriebeaufhängung|
artikel_gruppe|5|3|Hydraulikfilter, Automatikgetriebe|
artikel_gruppe|5|4|Lagerung, Automatikgetriebe|
artikel_gruppe|5|5|Lagerung, Automatikgetriebeträger|
artikel_gruppe|5|6|Ölwanne, Automatikgetriebe|
artikel_gruppe|6|0|Beleuchtung|
artikel_gruppe|6|1|Blende, Nebelscheinwerfer|
artikel_gruppe|6|2|Glühlampe, Hauptscheinwerfer|
artikel_gruppe|6|3|Glühlampe, Nebelscheinwerfer|
artikel_gruppe|6|4|Halter, Hauptscheinwerfer|
artikel_gruppe|6|5|Hauptscheinwerfer|
artikel_gruppe|6|6|Heckblende|
artikel_gruppe|6|7|Heckleuchte|
artikel_gruppe|6|8|Innenraumleuchte|
artikel_gruppe|6|9|Kennzeichenleuchte|
artikel_gruppe|6|10|Leseleuchte|
artikel_gruppe|6|11|Nebelscheinwerfer|
artikel_gruppe|6|12|Rahmen, Hauptscheinwerfer|
artikel_gruppe|6|13|Reflektor, Nebelscheinwerfer|
artikel_gruppe|6|14|Rückstrahler|
artikel_gruppe|6|15|Schalter, Hauptlicht|
artikel_gruppe|6|16|Schalter, Nebellicht|
artikel_gruppe|6|17|Schalter, Nebelschlußleuchte|
artikel_gruppe|6|18|Schalter, Rückfahrleuchte|
artikel_gruppe|6|19|Scheinwerferaufnahme, Beleuchtung|
artikel_gruppe|6|20|Schlußleuchte|
artikel_gruppe|6|21|Stellelement, Leuchtweiteregulierung|
artikel_gruppe|6|22|Streuscheibe, Hauptscheinwerfer|
artikel_gruppe|7|0|Beleuchtung, Universal|
