art_nr|art_uvp
81600|64,29
81601|46,45
81602|55,68
81603|38,21
81604|49,98
81605|46,90
81606|55,59
81607|28,45
81608|56,06
81609|56,06
81610|56,06
81611|28,45
81612|28,45
81613|61,49
81614|38,24
81615|48,77
81616|31,13
81617|33,49
81618|46,89
81619|75,03
81620|75,03
81621|33,80
81622|39,34
81623|20,20
81624|20,36
81625|39,34
81626|39,34
81627|60,04
81628|48,16
81629|13,59
81630|48,82
81631|44,07
81633|35,67
81634|64,05
81636|38,13
81637|38,50
81638|130,74
81639|71,24
81640|58,48
81641|26,50
81643|54,40
81644|41,40
81645|77,50
82601|57,86
82602|72,55
82603|19,06
82604|29,87
82605|38,01
82606|27,14
82607|31,87
82608|29,82
82609|152,77
82610|31,03
82611|28,61
82612|28,61
82613|63,52
82614|83,58
82615|23,57
82616|49,82
82617|21,31
82618|14,91
82619|87,15
82620|15,96
82621|33,55
82622|59,54
82623|59,54
82624|22,15
82625|72,55
82626|40,85
82627|25,62
82628|51,45
82629|34,55
82630|39,11
82631|62,79
82632|49,82
82633|49,56
82634|33,50
82635|90,51
82636|66,36
82637|40,85
82638|32,50
82639|37,22
82640|52,82
82641|21,58
82642|66,36
82643|57,86
82644|23,57
82645|68,88
82646|8,24
82647|7,50
82648|81,90
82649|38,01
82650|38,01
82651|54,60
82652|28,61
82653|28,92
82654|51,13
82655|64,99
82656|31,13
82657|42,84
82658|31,13
82659|25,62
82660|45,57
82661|45,57
82662|45,57
82663|25,62
82664|60,69
82665|17,33
82666|54,60
82667|60,69
82668|34,55
82669|33,92
82670|34,55
82671|34,55
82672|28,61
82673|45,57
82674|34,55
82675|40,85
82676|38,01
82677|43,26
82678|25,62
82680|30,20
82681|55,10
82682|38,65
82683|49,25
82684|33,95
82685|64,00
82686|33,95
82687|102,00
82688|22,40
82689|84,40
82690|26,90
82691|58,90
82692|25,80
82694|49,25
82695|49,25
82696|32,80
84601|50,07
84602|57,03
84603|145,27
84604|50,07
84606|50,07
84607|57,03
84608|145,21
84609|145,21
84611|145,21
84612|57,03
84613|145,21
84615|145,21
84617|145,21
84619|145,21
84620|146,69
84621|146,69
84622|42,88
84623|42,88
84624|146,69
84625|146,69
85600|147,00
85601|160,17
85602|13,00
85603|20,34
85606|12,43
85607|52,23
85608|102,25
85609|70,24
85610|30,52
85611|48,00
85612|55,65
85613|55,65
85614|43,00
85615|102,00
85616|114,00
85617|113,50
85618|68,55
85619|31,00
85620|195,00
85622|165,00
85625|34,80
85626|112,00
85628|171,50
85629|102,50
85630|266,00
86600|65,52
86601|111,30
86602|16,54
86603|36,33
86604|50,82
86605|31,18
86606|36,33
86607|107,10
86608|19,06
86609|37,15
86610|46,00
86611|37,15
86612|23,80
86613|37,15
86614|38,40
86615|51,70
86616|28,90
86617|42,65
86618|31,30
86619|56,20
86620|43,25
86621|154,50
86622|45,85
86623|20,05
86624|48,05
86625|48,05
86626|16,15
86627|44,05
86628|31,50
86629|48,05
86630|73,40
86631|9,50
86632|44,05
86633|51,30
86634|52,80
86635|54,10
86636|52,80
86637|33,35
86638|184,50
86639|44,05
86640|44,05
86641|44,05
86642|35,70
86643|21,50
86644|52,80
86645|37,45
86646|44,05
86647|32,80
86648|84,40
86650|76,10
86651|53,50
87600|46,93
87601|117,08
87602|32,50
87603|37,28
87604|41,37
87605|60,69
87606|28,35
87607|49,82
87608|49,82
87609|26,09
87610|49,82
87611|156,97
87612|53,55
87613|177,97
87614|56,91
87615|68,88
87616|53,13
87617|34,55
87618|31,13
87619|34,55
88600|45,15
88601|34,95
88602|33,50
88603|60,90
88604|49,90
88605|63,42
88606|40,10
88607|29,00
88608|78,50
88609|55,00
88610|165,00
88611|44,90
88612|23,90
88613|110,00
88614|67,50
88615|129,20
88616|47,50
88617|79,90
88618|45,50
88619|65,00
88620|51,90
88621|60,80
88622|67,80
88623|34,50
88624|94,50
88625|72,50
88626|74,10
88627|168,50
88628|160,30
88629|120,20
88630|57,00
88631|35,00
88632|54,00
88633|53,20
88634|24,00
88635|109,80
88637|138,40
88638|166,30
88639|181,40
BA71001|44,90
BA71002|44,90
BA71003|65,00
BA71004|37,35
BA71005|35,75
BA71006|44,90
BA71007|44,90
BA71008|44,90
BA71009|44,90
BA71010|44,90
BA71011|44,90
BA71014|74,00
BA71015|73,70
BA71016|82,50
BA71017|78,10
BA71018|80,50
BA71019|82,50
BA71020|89,00
BA71021|91,30
BA71022|80,50
BA71023|78,00
BA71024|78,00
BA71025|91,30
BA71026|73,00
BA71027|69,84
BA71028|52,30
BA71029|90,50
BA71032|170,35
BA71033|160,10
BA71034|170,00
BA71035|159,00
BA71036|158,75
BA71037|79,55
BA71038|79,55
BA71039|74,75
BA71042|94,75
BA71043|94,75
BA71045|70,75
BA71046|83,50
BA71047|63,90
BA71048|60,75
BA71049|85,00
BA71050|85,00
BA71051|179,00
BA71052|93,00
BA71053|71,00
BA71054|69,00
BA71055|98,00
BA71056|48,10
BA71057|48,10
BA71058|45,00
BA71059|45,00
BA71060|45,00
BA71062|87,61
BA71063|95,81
BA71064|95,81
BA71065|52,50
BA71066|79,50
BA71067|93,88
BA71068|86,80
BA71069|46,56
BA71071|53,00
BA71072|46,65
BA71073|49,05
BA71074|53,64
BA71075|36,20
BA71076|30,00
BA71077|30,80
BA71078|43,00
BA71079|45,00
BA71080|44,40
BA71081|44,99
BA71082|99,31
BA71084|99,79
BA71085|91,65
BA71086|91,65
BA71087|99,39
BFC001|79,70
BFC002|116,44
BFC004|93,15
BFC007|103,50
BFC008|103,50
BFC010|181,13
BFC011|111,26
BFC015|124,20
BFC016|103,50
BFC017|139,73
BFC020|93,15
BFC025|113,85
BFC026|113,85
BFC027|119,03
BFC028|108,68
BFC029|170,78
BFC030|103,50
BFC035|113,85
BFC036|119,03
BFC037|119,03
BFC038|119,03
BFC039|129,38
BFC040|150,08
BFC041|155,25
BFC043|113,85
BFC050|289,80
BFC051|227,70
BFC053|227,70
BFC055|103,50
BFC060|151,75
BFC068|82,80
BFC069|174,92
BFC070|113,85
BFC071|147,49
BFC074|119,03
BFC075|113,85
BFC077|181,13
BFC080|155,25
BFC082|153,18
BFC083|147,49
BFC087|119,03
BFC088|128,33
BFC096|166,62
BFC104|216,00
BFC108|140,50
BGS10001|24,84
BGS10002|25,88
BGS10002|25,88
BGS10003|28,98
BGS10003|28,98
BGS10004|25,88
BGS10004|25,88
BGS10005|21,74
BGS10005|21,74
