art;lfd;ulfd;DE;ENG
Adm_Menue;1;0;Texterror&nbsp;(Adm_Menue[1]/DE)
Adm_Menue;2;0;Texterror&nbsp;(Adm_Menue[2]/DE)
Adm_Menue;3;0;Texterror&nbsp;(Adm_Menue[3]/DE)
Adm_Menue;4;0;Texterror&nbsp;(Adm_Menue[4]/DE)
Adm_Menue;5;0;Texterror&nbsp;(Adm_Menue[5]/DE)
Adm_Menue;6;0;Texterror&nbsp;(Adm_Menue[6]/DE)
Adm_Menue;7;0;Texterror&nbsp;(Adm_Menue[7]/DE)
Adm_Menue;8;0;Texterror&nbsp;(Adm_Menue[8]/DE);
Login;0;0;Texterror&nbsp;(Login[0]/DE)
Login;1;0;Texterror&nbsp;(Login[1]/DE)
Login;2;0;Texterror&nbsp;(Login[2]/DE)
Login;99;0;Texterror&nbsp;(Login[99]/DE)
Logout_Text;0;0;Texterror&nbsp;(Logout_Text[0]/DE)
Logout_Text;1;0;Texterror&nbsp;(Logout_Text[1]/DE)
My_Account;0;0;Texterror&nbsp;(My_Account[0]/DE)
My_Order;0;0;Texterror&nbsp;(My_Order[0]/DE)
New_Account;0;0;Texterror&nbsp;(New_Account[0]/DE)
New_Password;0;0;Texterror&nbsp;(New_Password[0]/DE)
Sprachwahl;0;0;Texterror&nbsp;(Sprachwahl[0]/DE)
Willkommen;0;0;Texterror&nbsp;(Willkommen[0]/DE)
